origin,target_date,horizon,quantile,value,model,region
2015-01-04,2015-01-11,1,0.01,8.904696111445833,Naive,toscana
2015-01-04,2015-01-11,1,0.025,9.305564076661248,Naive,toscana
2015-01-04,2015-01-11,1,0.05,9.650332641777329,Naive,toscana
2015-01-04,2015-01-11,1,0.1,10.04782871703646,Naive,toscana
2015-01-04,2015-01-11,1,0.15,10.316017431896944,Naive,toscana
2015-01-04,2015-01-11,1,0.2,10.529165320712783,Naive,toscana
2015-01-04,2015-01-11,1,0.25,10.712027230268882,Naive,toscana
2015-01-04,2015-01-11,1,0.3,10.876242876635164,Naive,toscana
2015-01-04,2015-01-11,1,0.35,11.0284131460171,Naive,toscana
2015-01-04,2015-01-11,1,0.4,11.172807850897469,Naive,toscana
2015-01-04,2015-01-11,1,0.45,11.31251139893553,Naive,toscana
2015-01-04,2015-01-11,1,0.5,11.45,Naive,toscana
2015-01-04,2015-01-11,1,0.55,11.587488601064468,Naive,toscana
2015-01-04,2015-01-11,1,0.6,11.72719214910253,Naive,toscana
2015-01-04,2015-01-11,1,0.65,11.8715868539829,Naive,toscana
2015-01-04,2015-01-11,1,0.7,12.023757123364836,Naive,toscana
2015-01-04,2015-01-11,1,0.75,12.187972769731116,Naive,toscana
2015-01-04,2015-01-11,1,0.8,12.370834679287212,Naive,toscana
2015-01-04,2015-01-11,1,0.85,12.583982568103057,Naive,toscana
2015-01-04,2015-01-11,1,0.9,12.85217128296354,Naive,toscana
2015-01-04,2015-01-11,1,0.95,13.24966735822267,Naive,toscana
2015-01-04,2015-01-11,1,0.975,13.594435923338752,Naive,toscana
2015-01-04,2015-01-11,1,0.99,13.995303888554163,Naive,toscana
2015-01-04,2015-01-18,2,0.01,7.850396720445722,Naive,toscana
2015-01-04,2015-01-18,2,0.025,8.417309633574265,Naive,toscana
2015-01-04,2015-01-18,2,0.05,8.90488601424134,Naive,toscana
2015-01-04,2015-01-18,2,0.1,9.467030354862878,Naive,toscana
2015-01-04,2015-01-18,2,0.15,9.846306472693986,Naive,toscana
2015-01-04,2015-01-18,2,0.2,10.14774310784854,Naive,toscana
2015-01-04,2015-01-18,2,0.25,10.406348900384216,Naive,toscana
2015-01-04,2015-01-18,2,0.3,10.638584894629275,Naive,toscana
2015-01-04,2015-01-18,2,0.35,10.853786153379176,Naive,toscana
2015-01-04,2015-01-18,2,0.4,11.057991103355857,Naive,toscana
2015-01-04,2015-01-18,2,0.45,11.255561755702924,Naive,toscana
2015-01-04,2015-01-18,2,0.5,11.45,Naive,toscana
2015-01-04,2015-01-18,2,0.55,11.644438244297074,Naive,toscana
2015-01-04,2015-01-18,2,0.6,11.842008896644144,Naive,toscana
2015-01-04,2015-01-18,2,0.65,12.046213846620825,Naive,toscana
2015-01-04,2015-01-18,2,0.7,12.261415105370723,Naive,toscana
2015-01-04,2015-01-18,2,0.75,12.493651099615782,Naive,toscana
2015-01-04,2015-01-18,2,0.8,12.752256892151458,Naive,toscana
2015-01-04,2015-01-18,2,0.85,13.053693527306011,Naive,toscana
2015-01-04,2015-01-18,2,0.9,13.43296964513712,Naive,toscana
2015-01-04,2015-01-18,2,0.95,13.99511398575866,Naive,toscana
2015-01-04,2015-01-18,2,0.975,14.482690366425734,Naive,toscana
2015-01-04,2015-01-18,2,0.99,15.049603279554276,Naive,toscana
2015-01-04,2015-02-01,4,0.01,6.359392222891669,Naive,toscana
2015-01-04,2015-02-01,4,0.025,7.161128153322493,Naive,toscana
2015-01-04,2015-02-01,4,0.05,7.85066528355466,Naive,toscana
2015-01-04,2015-02-01,4,0.1,8.64565743407292,Naive,toscana
2015-01-04,2015-02-01,4,0.15,9.182034863793888,Naive,toscana
2015-01-04,2015-02-01,4,0.2,9.60833064142557,Naive,toscana
2015-01-04,2015-02-01,4,0.25,9.974054460537763,Naive,toscana
2015-01-04,2015-02-01,4,0.3,10.302485753270329,Naive,toscana
2015-01-04,2015-02-01,4,0.35,10.6068262920342,Naive,toscana
2015-01-04,2015-02-01,4,0.4,10.895615701794938,Naive,toscana
2015-01-04,2015-02-01,4,0.45,11.175022797871064,Naive,toscana
2015-01-04,2015-02-01,4,0.5,11.45,Naive,toscana
2015-01-04,2015-02-01,4,0.55,11.724977202128937,Naive,toscana
2015-01-04,2015-02-01,4,0.6,12.00438429820506,Naive,toscana
2015-01-04,2015-02-01,4,0.65,12.2931737079658,Naive,toscana
2015-01-04,2015-02-01,4,0.7,12.59751424672967,Naive,toscana
2015-01-04,2015-02-01,4,0.75,12.925945539462234,Naive,toscana
2015-01-04,2015-02-01,4,0.8,13.29166935857443,Naive,toscana
2015-01-04,2015-02-01,4,0.85,13.71796513620611,Naive,toscana
