model,horizon,MAE,RMSE,sMAPE,MASE,WIS,CRPS,PinballLoss,Coverage95,Coverage95_Dist,region
ARIMA,1,1.1367416645482147,1.6127030510077567,24.501196360769768,0.5622616432655491,0.7706279879485897,0.8427880940965969,0.38531399397429483,0.8695652173913043,0.08043478260869563,toscana
ARIMA,2,2.0014889683658863,2.990813212643962,37.85261429061119,0.9899878850473328,1.418913598317408,1.5360013598480697,0.709456799158704,0.8695652173913043,0.08043478260869563,toscana
ARIMA,4,3.478252411080527,4.97706454134984,55.27753769268832,1.7204330388679483,2.4644692384291162,2.6725845193463833,1.232234619214558,0.782608695652174,0.167391304347826,toscana
ARIMA,8,3.9410082734439635,5.420793789072363,72.0081721709916,1.949323981918445,2.6893074515746878,2.9737942451927717,1.3446537257873439,0.7391304347826086,0.2108695652173913,toscana
CatBoost,1,1.294474847071027,1.9353856489092924,25.246105803684383,0.6402805293226805,1.0491480806957065,1.130059569707802,0.5245740403478532,0.8695652173913043,0.08043478260869563,toscana
CatBoost,2,2.051988021182896,3.0518806054475696,42.327865963132645,1.0149660144726587,1.5337912358951278,1.6734482819308052,0.7668956179475639,0.9565217391304348,0.006521739130434856,toscana
CatBoost,4,3.576129479677352,5.350342879061776,58.83303450156171,1.7688455525846316,2.743600644122192,2.960687434246797,1.3718003220610957,0.8260869565217391,0.12391304347826082,toscana
CatBoost,8,4.525185147725727,6.174321691808051,78.54126684048299,2.238272878167391,3.173049533713691,3.4828408332162737,1.5865247668568454,0.8260869565217391,0.12391304347826082,toscana
Chronos-Bolt-small,1,0.8854214565879651,1.392706073374534,18.224434860873345,0.437952209098965,0.6325752446975688,0.6973037748809948,0.3162876223487844,0.9130434782608695,0.036956521739130443,toscana
Chronos-Bolt-small,2,1.6059851860754784,2.447770875483859,29.792510452134678,0.794361549281127,1.0858146626007241,1.2015197491131264,0.5429073313003621,0.9565217391304348,0.006521739130434856,toscana
Chronos-Bolt-small,4,2.884389641196584,4.155682117295213,47.560859418499966,1.4266932497119982,1.9277165015595867,2.110529809087569,0.9638582507797935,0.9130434782608695,0.036956521739130443,toscana
Chronos-Bolt-small,8,3.7991170387273594,5.170524299289235,68.64035672671068,1.8791409304082822,2.483826515573795,2.75099148003137,1.2419132577868974,0.8260869565217391,0.12391304347826082,toscana
Chronos-V2,1,1.1061024907590282,1.59204686001595,23.285543435982543,0.5471067204363119,0.7340167496619813,0.8164517761855935,0.36700837483099064,0.8695652173913043,0.08043478260869563,toscana
Chronos-V2,2,1.7933839867180725,2.7057356949543303,30.929225292082315,0.887053812511555,1.1901852655534504,1.3276390401784257,0.5950926327767252,0.9130434782608695,0.036956521739130443,toscana
Chronos-V2,4,3.075179088441975,4.4104251187396875,50.851369167582185,1.5210626138969152,1.9761118477332076,2.21329582909875,0.9880559238666037,0.9565217391304348,0.006521739130434856,toscana
Chronos-V2,8,3.5219711310298467,5.154948441356214,59.31555857916106,1.7420574413921055,2.2692561499919104,2.5465966244108493,1.1346280749959552,0.9130434782608695,0.036956521739130443,toscana
Drift,1,1.1172956481003586,1.5045415525875527,24.565761991739155,0.5526431437384063,0.718772513049996,0.7925467208659864,0.359386256524998,0.9130434782608695,0.036956521739130443,toscana
Drift,2,2.151947174124601,3.0062404270832688,36.489701814154785,1.0644083806190359,1.5159673648730922,1.658755251387916,0.7579836824365461,0.7391304347826086,0.2108695652173913,toscana
Drift,4,3.90890848095479,5.300295972286058,59.842183294902426,1.9334465995400847,2.8562975036718306,3.0932437901585588,1.4281487518359153,0.6521739130434783,0.2978260869565217,toscana
Drift,8,5.393574631440734,7.096417978187596,83.57231473744523,2.6678006357359285,3.8620537597882403,4.204985700585326,1.9310268798941195,0.6521739130434783,0.2978260869565217,toscana
ETS,1,1.1251936752776286,1.5305910187235767,25.057172187889687,0.5565497109715275,0.8360986278027296,0.9252833021888403,0.4180493139013648,0.9565217391304348,0.006521739130434856,toscana
ETS,2,2.2694050820217373,3.099262169134145,37.75757948972955,1.1225060807108376,1.4161657787727648,1.5684313659615812,0.7080828893863824,0.9565217391304348,0.006521739130434856,toscana
ETS,4,4.039000295609591,5.352132820925504,56.26188148874224,1.9977933546247382,2.4990421332504207,2.770306380306643,1.2495210666252101,0.9130434782608695,0.036956521739130443,toscana
ETS,8,5.445802388168457,7.42211835409559,70.65579013917926,2.693633826545798,3.4614887339076326,3.836741790159432,1.7307443669538163,0.9565217391304348,0.006521739130434856,toscana
LightGBM,1,1.3527256952526348,1.991004021864908,24.05188723426413,0.6690928959682014,1.0601623798513093,1.152832844896848,0.5300811899256547,0.8260869565217391,0.12391304347826082,toscana
LightGBM,2,2.015908508067808,2.9857037422890107,39.913150737554034,0.9971201599878818,1.4461290367125401,1.578002478566594,0.72306451835627,0.9130434782608695,0.036956521739130443,toscana
LightGBM,4,3.318038376785623,5.134647155977383,58.743249116000754,1.6411870597626979,2.584314204285454,2.800637593334975,1.292157102142727,0.782608695652174,0.167391304347826,toscana
LightGBM,8,4.503516171053983,6.044747887565604,81.07733581488881,2.2275548453800735,3.1515873729022594,3.4122588273386687,1.5757936864511297,0.782608695652174,0.167391304347826,toscana
MovingAverage,1,3.7383850965747474,4.537013475199033,67.35372190282844,1.849101350916835,2.456659072213804,2.698023382987346,1.2283295361069022,0.8695652173913043,0.08043478260869563,toscana
MovingAverage,2,3.26901995285591,3.946854940207286,63.836187857818196,1.6169412874394304,2.073279041346042,2.2996658349007557,1.036639520673021,0.9565217391304348,0.006521739130434856,toscana
MovingAverage,4,3.320327134343508,4.823819781554701,54.92035834910523,1.6423191380753583,2.3862633971587566,2.5795793545080703,1.1931316985793783,0.8695652173913043,0.08043478260869563,toscana
MovingAverage,8,3.7126744198901807,4.733889060711332,64.93016655269102,1.8363841894253725,2.4683741609180294,2.720768384453091,1.2341870804590147,0.8260869565217391,0.12391304347826082,toscana
Naive,1,1.1111470787630295,1.4978055659903668,24.59433059272603,0.5496019033166322,0.7144870482807081,0.7877197698416029,0.35724352414035404,0.9130434782608695,0.036956521739130443,toscana
Naive,2,2.1344252659601284,2.9808296431232826,36.345592850185746,1.0557415945013477,1.5006653322280028,1.6428200984598316,0.7503326661140014,0.7391304347826086,0.2108695652173913,toscana
Naive,4,3.8700500033080183,5.2526252875414725,59.276571256402946,1.9142261977743458,2.8226975109797032,3.0576948639715447,1.4113487554898516,0.6521739130434783,0.2978260869565217,toscana
Naive,8,5.312128874648439,6.9798203889330654,82.37707122305085,2.6275154711473308,3.795766347147348,4.134919614473763,1.8978831735736734,0.6521739130434783,0.2978260869565217,toscana
Prophet,1,3.2239324348808522,4.584534792753744,54.3078607516474,1.594639842231564,2.2743891619745775,2.4951346271255894,1.1371945809872888,0.782608695652174,0.167391304347826,toscana
Prophet,2,3.2486297161049684,4.29221577794861,59.76196349963116,1.6068557522824918,2.193109688473774,2.413798399391938,1.096554844236887,0.8260869565217391,0.12391304347826082,toscana
Prophet,4,3.813081211004012,5.282570766415327,62.62531988493679,1.8860479689166616,2.6391497111405915,2.892472482311368,1.319574855570296,0.782608695652174,0.167391304347826,toscana
Prophet,8,3.7599183119650483,5.462218681225239,59.04035537532303,1.8597522326850806,2.734998792220444,2.979914593605261,1.367499396110222,0.6956521739130435,0.2543478260869565,toscana
Ridge,1,1.1007063910718393,1.5707638706130316,24.90216079638783,0.5444376708431052,0.7853317085298871,0.8599937069792752,0.39266585426494355,0.8695652173913043,0.08043478260869563,toscana
Ridge,2,2.07489169944523,3.0523526783230954,47.70910950518721,1.0262947624003802,1.489326508708595,1.6300600822868019,0.7446632543542975,0.8260869565217391,0.12391304347826082,toscana
Ridge,4,3.5350076029574926,5.133736403273876,69.73818039207332,1.7485056154645642,2.617817135845099,2.8570037491663545,1.3089085679225496,0.8695652173913043,0.08043478260869563,toscana
Ridge,8,4.099521326799748,6.203415535964521,80.65091590762283,2.0277286121334246,3.2670813897936886,3.5900860859727497,1.6335406948968443,0.8260869565217391,0.12391304347826082,toscana
SARIMA,1,1.0888657256654255,1.5751944588838875,23.517027561588073,0.5385809734100839,0.7412297466676655,0.8094207179051862,0.37061487333383275,0.9130434782608695,0.036956521739130443,toscana
SARIMA,2,1.958366960582932,2.989743527836563,37.50560585045919,0.9686586316970652,1.41607161629352,1.5322951241782572,0.7080358081467601,0.8695652173913043,0.08043478260869563,toscana
SARIMA,4,3.3212252850374964,4.974277427170497,53.04003178081065,1.6427633864924363,2.434846620386319,2.6314174877433696,1.2174233101931593,0.782608695652174,0.167391304347826,toscana
SARIMA,8,3.996484650513374,5.746647962359703,73.86731115329344,1.9767640238437691,2.7625830505689284,3.0387964251559176,1.3812915252844642,0.7391304347826086,0.2108695652173913,toscana
SeasonalNaive,1,4.941794624202016,6.539964524731278,84.22099377705328,2.4443386327261947,3.3510661549288194,3.710021766839057,1.6755330774644095,0.782608695652174,0.167391304347826,toscana
SeasonalNaive,2,4.608081654396221,5.980276099869975,84.71614340855787,2.2792756209322125,3.076262632972245,3.4029963143641937,1.5381313164861226,0.8260869565217391,0.12391304347826082,toscana
SeasonalNaive,4,4.1988474307777555,5.870022707095268,74.70348019990489,2.076857855992041,2.916196277023357,3.218200222138805,1.4580981385116785,0.8695652173913043,0.08043478260869563,toscana
SeasonalNaive,8,4.103997333734485,5.950258402521697,64.7998247563899,2.029942560203493,2.9279227351916863,3.23425120256366,1.4639613675958432,0.7391304347826086,0.2108695652173913,toscana
TiRex,1,1.1646913479951444,1.568462212059881,24.886437382813092,0.5760862750475365,0.7458502718733613,0.8179143560723794,0.37292513593668064,0.7391304347826086,0.2108695652173913,toscana
TiRex,2,1.7636675731786837,2.733804997569619,30.95192537854863,0.8723553106182018,1.2050096300025588,1.308934505263032,0.6025048150012794,0.782608695652174,0.167391304347826,toscana
TiRex,4,3.029081046362751,4.672472023084959,52.45235725233026,1.4982613374951306,2.264779745579439,2.4166608594788506,1.1323898727897195,0.6956521739130435,0.2543478260869565,toscana
TiRex,8,3.953122638947321,5.807397197997984,76.38540056592706,1.9553160584539209,2.917250441108991,3.108850074418756,1.4586252205544958,0.6521739130434783,0.2978260869565217,toscana
TimeGPT,1,1.0834089757979843,1.5548644734229555,27.31408943343373,0.5358819246789231,0.7502681292999263,0.8175295506502956,0.37513406464996313,0.8260869565217391,0.12391304347826082,toscana
TimeGPT,2,2.1389647412559527,2.8368814809925538,39.68793900416381,1.057986935654043,1.448816677928842,1.5883886251827548,0.724408338964421,0.9565217391304348,0.006521739130434856,toscana
TimeGPT,4,3.598962735125582,4.952195435841503,58.569945230611694,1.7801394675785245,2.4912867208777056,2.709837934243796,1.2456433604388528,0.8695652173913043,0.08043478260869563,toscana
TimeGPT,8,4.508153268517093,5.7260762915267565,73.36531883533051,2.2298484729657457,3.007333066219437,3.344522719732218,1.5036665331097183,0.8695652173913043,0.08043478260869563,toscana
TimesFM,1,1.062897754671395,1.5185685053210163,22.64046272914904,0.5257365475403076,0.7753942102841714,0.8393729858270162,0.3876971051420857,0.6086956521739131,0.3413043478260869,toscana
TimesFM,2,1.894786064590622,2.7493125432330574,36.85716105212133,0.9372098864140812,1.3079591101520958,1.4134262842388576,0.6539795550760479,0.6521739130434783,0.2978260869565217,toscana
TimesFM,4,3.050368770608901,4.597735354191478,52.693944030048215,1.5087907930339852,2.233730054737396,2.3884375218745384,1.1168650273686977,0.782608695652174,0.167391304347826,toscana
