model,season,horizon,true_peak_date,pred_peak_date,peak_timing_error_weeks,true_peak_val,pred_peak_val,peak_intensity_error_abs,peak_intensity_error_rel,region
ARIMA,2017-2018,latest,2018-01-07,2018-01-28,3.0,13.37,9.871043335223323,3.498956664776676,-0.2617020691680386,toscana
ARIMA,2018-2019,latest,2019-02-03,2019-03-03,4.0,13.92,8.102426815154912,5.817573184845088,-0.4179291081066874,toscana
ARIMA,2019-2020,latest,2020-02-02,2020-02-16,2.0,9.23,7.484341509768365,1.7456584902316354,-0.18912876383874705,toscana
ARIMA,2020-2021,latest,2021-02-07,2021-04-04,8.0,2.48,4.531873923723893,2.051873923723893,0.827368517630602,toscana
ARIMA,2021-2022,latest,2022-01-02,2022-04-10,14.0,6.25,5.167709822731877,1.0822901772681233,-0.17316642836289972,toscana
ARIMA,2022-2023,latest,2022-12-18,2023-03-12,12.0,20.95,10.701250004070088,10.248749995929911,-0.48920047713269266,toscana
ARIMA,2023-2024,latest,2023-12-31,2024-01-07,1.0,19.94,20.084619114537023,0.14461911453702214,0.007252713868456476,toscana
ARIMA,2024-2025,latest,2025-01-26,2025-02-02,1.0,17.2923423046085,16.646720988162347,0.6456213164461531,-0.037335677554456666,toscana
CatBoost,2017-2018,latest,2018-01-07,2018-01-28,3.0,13.37,6.787510696239458,6.582489303760541,-0.4923327826298086,toscana
CatBoost,2018-2019,latest,2019-02-03,2019-03-03,4.0,13.92,9.884002436516294,4.035997563483706,-0.2899423536985421,toscana
CatBoost,2019-2020,latest,2020-02-02,2020-03-08,5.0,9.23,7.7843111782280126,1.4456888217719879,-0.1566293414704212,toscana
CatBoost,2020-2021,latest,2021-02-07,2021-04-04,8.0,2.48,4.057946564810891,1.5779465648108908,0.6362687761334237,toscana
CatBoost,2021-2022,latest,2022-01-02,2022-04-24,16.0,6.25,8.133467768802081,1.883467768802081,0.301354843008333,toscana
CatBoost,2022-2023,latest,2022-12-18,2023-03-12,12.0,20.95,11.778941347239678,9.17105865276032,-0.43775936290025397,toscana
CatBoost,2023-2024,latest,2023-12-31,2024-01-07,1.0,19.94,18.28517752159461,1.6548224784053929,-0.08299009420287827,toscana
CatBoost,2024-2025,latest,2025-01-26,2025-02-02,1.0,17.2923423046085,14.578703943694398,2.7136383609141017,-0.15692717117859176,toscana
Chronos-Bolt-small,2017-2018,latest,2018-01-07,2018-01-28,3.0,13.37,10.698583602905272,2.6714163970947276,-0.19980676118883528,toscana
Chronos-Bolt-small,2018-2019,latest,2019-02-03,2019-03-03,4.0,13.92,7.559294700622559,6.360705299377441,-0.4569472197828622,toscana
Chronos-Bolt-small,2019-2020,latest,2020-02-02,2020-02-16,2.0,9.23,7.886658668518066,1.343341331481934,-0.14554077264159632,toscana
Chronos-Bolt-small,2020-2021,latest,2021-02-07,2020-12-13,-8.0,2.48,4.886424064636231,2.4064240646362314,0.9703322841275127,toscana
