model,horizon,MAE,RMSE,sMAPE,MASE,WIS,CRPS,PinballLoss,Coverage95,Coverage95_Dist,region
ARIMA,1,2.0140512227357634,2.594009020410879,46.240785572492186,0.9920494797978564,1.2753953962382816,1.4138856918847784,0.6376976981191409,0.8695652173913043,0.08043478260869563,umbria
ARIMA,2,2.8939538148803794,4.115762180772307,50.715459084100914,1.4254579745550795,2.1072588686141303,2.295018714989641,1.053629434307065,0.7391304347826086,0.2108695652173913,umbria
ARIMA,4,4.615656556980139,6.601829993694096,75.23364974919654,2.273507066050651,3.3792942026369057,3.65266739611626,1.6896471013184533,0.782608695652174,0.167391304347826,umbria
ARIMA,8,7.609022521095416,9.566084388366674,106.407602600854,3.7479319039212053,5.212570792965444,5.705984526247859,2.606285396482722,0.6521739130434783,0.2978260869565217,umbria
CatBoost,1,1.9923583508725295,2.634799695773654,46.48440215667207,0.9813643482558638,1.3983397030382265,1.5487502772976571,0.6991698515191133,0.9130434782608695,0.036956521739130443,umbria
CatBoost,2,2.828610414856474,4.5226145479515045,53.7470650629539,1.3932721566026016,2.192421410705922,2.3675218329819274,1.096210705352961,0.9130434782608695,0.036956521739130443,umbria
CatBoost,4,3.9046602450011565,5.79977256425936,79.11923260615931,1.9232957539079298,2.991604150751837,3.257440652803191,1.4958020753759185,0.8695652173913043,0.08043478260869563,umbria
CatBoost,8,5.363952951436049,7.316867095752819,87.11731107292746,2.64209106256204,3.817702383077678,4.171970033411127,1.9088511915388389,0.8695652173913043,0.08043478260869563,umbria
Chronos-Bolt-small,1,1.9215055771624383,2.5742128263289743,47.81504822769369,0.9464648101965217,1.244979647666825,1.38030728917683,0.6224898238334124,0.8695652173913043,0.08043478260869563,umbria
Chronos-Bolt-small,2,2.5290679052168783,3.3078318924831174,55.70888446820103,1.245728247336153,1.6498552753807,1.8278187940870145,0.82492763769035,0.8260869565217391,0.12391304347826082,umbria
Chronos-Bolt-small,4,3.553089507796344,5.116651867123785,65.64540455884584,1.7501246036318072,2.4007949876303787,2.6237427015313983,1.2003974938151891,0.8695652173913043,0.08043478260869563,umbria
Chronos-Bolt-small,8,5.10351694733412,7.151074401389044,82.42510690110517,2.5138096169496476,3.5681825246273093,3.8759091352298687,1.7840912623136547,0.782608695652174,0.167391304347826,umbria
Chronos-V2,1,2.0879847397103375,2.6701896239782528,53.09312838476661,1.0284664816229758,1.261173150396058,1.4086653040668027,0.630586575198029,0.9565217391304348,0.006521739130434856,umbria
Chronos-V2,2,2.5881646697395992,3.634411005235423,55.83885877590971,1.2748371964237868,1.7124762343106747,1.9111881468073713,0.8562381171553374,0.8695652173913043,0.08043478260869563,umbria
Chronos-V2,4,3.819343152254059,5.283296180858291,67.43490482027552,1.8812716104689882,2.561488995232792,2.8174244299298294,1.2807444976163962,0.8695652173913043,0.08043478260869563,umbria
Chronos-V2,8,4.5370567703767755,6.561861402586849,78.22439606281047,2.2347916269734993,3.033022632824757,3.344089380657637,1.516511316412379,0.8695652173913043,0.08043478260869563,umbria
Drift,1,1.7893158958952398,2.452938508578201,49.57565837712706,0.8813529088429712,1.166546838462015,1.2866107397237465,0.5832734192310075,0.9130434782608695,0.036956521739130443,umbria
Drift,2,2.6574259851619617,4.019866088771785,54.07548336810268,1.3089528391439047,1.9487329378830953,2.1373587918601267,0.9743664689415479,0.8695652173913043,0.08043478260869563,umbria
Drift,4,4.341304709666381,6.411067188046902,77.7269957677598,2.1383711746012297,3.1341977784459165,3.415895643891157,1.5670988892229578,0.8260869565217391,0.12391304347826082,umbria
Drift,8,7.412335090497101,9.536100326324359,106.39458815716397,3.6510507218513713,5.02128972644014,5.522639894007643,2.51064486322007,0.7391304347826086,0.2108695652173913,umbria
ETS,1,1.7109800900647878,2.278336229804627,49.11955244602093,0.8427674972375577,1.0948023609321342,1.2131618151645296,0.547401180466067,0.9130434782608695,0.036956521739130443,umbria
ETS,2,2.5807200810131037,3.9006214848948706,53.44067785313031,1.2711702587163152,1.9022660910658433,2.080204852162442,0.9511330455329217,0.8695652173913043,0.08043478260869563,umbria
ETS,4,4.242643709813421,6.182838286086848,75.39806633422972,2.0897743005616927,3.0610305813506247,3.334727584905015,1.5305152906753123,0.8260869565217391,0.12391304347826082,umbria
