model,season,horizon,true_peak_date,pred_peak_date,peak_timing_error_weeks,true_peak_val,pred_peak_val,peak_intensity_error_abs,peak_intensity_error_rel,region
ARIMA,2017-2018,latest,2018-01-14,2018-01-28,2.0,17.18,10.314084214388371,6.865915785611628,-0.39964585480859305,umbria
ARIMA,2018-2019,latest,2019-02-24,2019-03-10,2.0,20.39,19.23537627672588,1.1546237232741206,-0.056626960435219253,umbria
ARIMA,2019-2020,latest,2020-02-02,2020-02-16,2.0,16.86,16.823373661578305,0.03662633842169427,-0.00217238068930571,umbria
ARIMA,2020-2021,latest,2020-12-20,2020-12-13,-1.0,3.36,16.472973639310094,13.112973639310095,3.9026707259851476,umbria
ARIMA,2021-2022,latest,2022-03-20,2022-02-06,-6.0,13.5,8.326812394689172,5.173187605310828,-0.3831990818748761,umbria
ARIMA,2022-2023,latest,2022-11-27,2022-11-27,0.0,19.61,10.97834926458288,8.63165073541712,-0.44016576927165324,umbria
ARIMA,2023-2024,latest,2023-12-31,2024-01-14,2.0,22.93,24.663261468568656,1.7332614685686565,0.07558924852022052,umbria
ARIMA,2024-2025,latest,2025-01-26,2025-02-09,2.0,16.4854942048809,17.247838856361827,0.7623446514809267,0.04624336049660054,umbria
CatBoost,2017-2018,latest,2018-01-14,2018-01-28,2.0,17.18,10.176565365932628,7.003434634067371,-0.4076504443578214,umbria
CatBoost,2018-2019,latest,2019-02-24,2019-03-10,2.0,20.39,14.92708286650997,5.462917133490031,-0.2679213895777357,umbria
CatBoost,2019-2020,latest,2020-02-02,2020-02-16,2.0,16.86,13.737915010638364,3.1220849893616354,-0.18517704563236273,umbria
CatBoost,2020-2021,latest,2020-12-20,2021-04-04,15.0,3.36,7.271112628490593,3.9111126284905935,1.1640216156222005,umbria
CatBoost,2021-2022,latest,2022-03-20,2022-01-30,-7.0,13.5,13.566230492318828,0.06623049231882838,0.004905962393987288,umbria
CatBoost,2022-2023,latest,2022-11-27,2023-03-12,15.0,19.61,7.760097104171557,11.849902895828443,-0.6042785770437757,umbria
CatBoost,2023-2024,latest,2023-12-31,2024-01-07,1.0,22.93,19.247875465257025,3.682124534742975,-0.16058109615102378,umbria
CatBoost,2024-2025,latest,2025-01-26,2025-02-02,1.0,16.4854942048809,16.042010559487665,0.44348364539323626,-0.026901446804180912,umbria
Chronos-Bolt-small,2017-2018,latest,2018-01-14,2018-01-28,2.0,17.18,10.31645965576172,6.863540344238279,-0.3995075869754528,umbria
