origin,target_date,horizon,quantile,value,model,region
2015-01-04,2015-01-11,1,0.01,-3.715202461950234,Naive,valle_d_aosta
2015-01-04,2015-01-11,1,0.025,-1.5882253826752637,Naive,valle_d_aosta
2015-01-04,2015-01-11,1,0.05,0.2410922462911013,Naive,valle_d_aosta
2015-01-04,2015-01-11,1,0.1,2.3501783158741514,Naive,valle_d_aosta
2015-01-04,2015-01-11,1,0.15,3.773168674113257,Naive,valle_d_aosta
2015-01-04,2015-01-11,1,0.2,4.904116301129358,Naive,valle_d_aosta
2015-01-04,2015-01-11,1,0.25,5.874368663623003,Naive,valle_d_aosta
2015-01-04,2015-01-11,1,0.3,6.745685272052194,Naive,valle_d_aosta
2015-01-04,2015-01-11,1,0.35,7.55308996189452,Naive,valle_d_aosta
2015-01-04,2015-01-11,1,0.4,8.319238056278122,Naive,valle_d_aosta
2015-01-04,2015-01-11,1,0.45,9.060495204153918,Naive,valle_d_aosta
2015-01-04,2015-01-11,1,0.5,9.79,Naive,valle_d_aosta
2015-01-04,2015-01-11,1,0.55,10.51950479584608,Naive,valle_d_aosta
2015-01-04,2015-01-11,1,0.6,11.260761943721876,Naive,valle_d_aosta
2015-01-04,2015-01-11,1,0.65,12.026910038105475,Naive,valle_d_aosta
2015-01-04,2015-01-11,1,0.7,12.834314727947804,Naive,valle_d_aosta
2015-01-04,2015-01-11,1,0.75,13.705631336376996,Naive,valle_d_aosta
2015-01-04,2015-01-11,1,0.8,14.67588369887064,Naive,valle_d_aosta
2015-01-04,2015-01-11,1,0.85,15.80683132588674,Naive,valle_d_aosta
2015-01-04,2015-01-11,1,0.9,17.229821684125845,Naive,valle_d_aosta
2015-01-04,2015-01-11,1,0.95,19.33890775370889,Naive,valle_d_aosta
2015-01-04,2015-01-11,1,0.975,21.16822538267526,Naive,valle_d_aosta
2015-01-04,2015-01-11,1,0.99,23.295202461950232,Naive,valle_d_aosta
2015-01-04,2015-01-18,2,0.01,-9.309240484284537,Naive,valle_d_aosta
2015-01-04,2015-01-18,2,0.025,-6.301240651917158,Naive,valle_d_aosta
2015-01-04,2015-01-18,2,0.05,-3.71419485114473,Naive,valle_d_aosta
2015-01-04,2015-01-18,2,0.1,-0.7314967273282171,Naive,valle_d_aosta
2015-01-04,2015-01-18,2,0.15,1.2809155364196751,Naive,valle_d_aosta
2015-01-04,2015-01-18,2,0.2,2.8803170088795147,Naive,valle_d_aosta
2015-01-04,2015-01-18,2,0.25,4.252461058842564,Naive,valle_d_aosta
2015-01-04,2015-01-18,2,0.3,5.484688823604055,Naive,valle_d_aosta
2015-01-04,2015-01-18,2,0.35,6.626531486302714,Naive,valle_d_aosta
2015-01-04,2015-01-18,2,0.4,7.710028512166306,Naive,valle_d_aosta
2015-01-04,2015-01-18,2,0.45,8.758324423898255,Naive,valle_d_aosta
2015-01-04,2015-01-18,2,0.5,9.79,Naive,valle_d_aosta
2015-01-04,2015-01-18,2,0.55,10.821675576101743,Naive,valle_d_aosta
2015-01-04,2015-01-18,2,0.6,11.869971487833691,Naive,valle_d_aosta
2015-01-04,2015-01-18,2,0.65,12.953468513697285,Naive,valle_d_aosta
2015-01-04,2015-01-18,2,0.7,14.095311176395944,Naive,valle_d_aosta
2015-01-04,2015-01-18,2,0.75,15.327538941157435,Naive,valle_d_aosta
2015-01-04,2015-01-18,2,0.8,16.699682991120483,Naive,valle_d_aosta
2015-01-04,2015-01-18,2,0.85,18.29908446358032,Naive,valle_d_aosta
2015-01-04,2015-01-18,2,0.9,20.31149672732821,Naive,valle_d_aosta
2015-01-04,2015-01-18,2,0.95,23.29419485114473,Naive,valle_d_aosta
2015-01-04,2015-01-18,2,0.975,25.88124065191716,Naive,valle_d_aosta
2015-01-04,2015-01-18,2,0.99,28.88924048428453,Naive,valle_d_aosta
2015-01-04,2015-02-01,4,0.01,-17.220404923900468,Naive,valle_d_aosta
2015-01-04,2015-02-01,4,0.025,-12.966450765350526,Naive,valle_d_aosta
2015-01-04,2015-02-01,4,0.05,-9.307815507417796,Naive,valle_d_aosta
2015-01-04,2015-02-01,4,0.1,-5.089643368251696,Naive,valle_d_aosta
2015-01-04,2015-02-01,4,0.15,-2.243662651773485,Naive,valle_d_aosta
2015-01-04,2015-02-01,4,0.2,0.0182326022587169,Naive,valle_d_aosta
2015-01-04,2015-02-01,4,0.25,1.958737327246008,Naive,valle_d_aosta
2015-01-04,2015-02-01,4,0.3,3.70137054410439,Naive,valle_d_aosta
2015-01-04,2015-02-01,4,0.35,5.316179923789042,Naive,valle_d_aosta
2015-01-04,2015-02-01,4,0.4,6.848476112556246,Naive,valle_d_aosta
2015-01-04,2015-02-01,4,0.45,8.330990408307835,Naive,valle_d_aosta
2015-01-04,2015-02-01,4,0.5,9.79,Naive,valle_d_aosta
2015-01-04,2015-02-01,4,0.55,11.249009591692165,Naive,valle_d_aosta
2015-01-04,2015-02-01,4,0.6,12.731523887443752,Naive,valle_d_aosta
2015-01-04,2015-02-01,4,0.65,14.263820076210957,Naive,valle_d_aosta
2015-01-04,2015-02-01,4,0.7,15.87862945589561,Naive,valle_d_aosta
2015-01-04,2015-02-01,4,0.75,17.621262672753993,Naive,valle_d_aosta
2015-01-04,2015-02-01,4,0.8,19.56176739774128,Naive,valle_d_aosta
2015-01-04,2015-02-01,4,0.85,21.82366265177348,Naive,valle_d_aosta
2015-01-04,2015-02-01,4,0.9,24.66964336825169,Naive,valle_d_aosta
2015-01-04,2015-02-01,4,0.95,28.887815507417795,Naive,valle_d_aosta
2015-01-04,2015-02-01,4,0.975,32.54645076535053,Naive,valle_d_aosta
2015-01-04,2015-02-01,4,0.99,36.80040492390047,Naive,valle_d_aosta
2015-01-04,2015-03-01,8,0.01,-28.40848096856908,Naive,valle_d_aosta
2015-01-04,2015-03-01,8,0.025,-22.39248130383432,Naive,valle_d_aosta
2015-01-04,2015-03-01,8,0.05,-17.21838970228946,Naive,valle_d_aosta
2015-01-04,2015-03-01,8,0.1,-11.252993454656432,Naive,valle_d_aosta
2015-01-04,2015-03-01,8,0.15,-7.228168927160649,Naive,valle_d_aosta
2015-01-04,2015-03-01,8,0.2,-4.02936598224097,Naive,valle_d_aosta
2015-01-04,2015-03-01,8,0.25,-1.2850778823148712,Naive,valle_d_aosta
2015-01-04,2015-03-01,8,0.3,1.17937764720811,Naive,valle_d_aosta
2015-01-04,2015-03-01,8,0.35,3.463062972605429,Naive,valle_d_aosta
2015-01-04,2015-03-01,8,0.4,5.630057024332613,Naive,valle_d_aosta
2015-01-04,2015-03-01,8,0.45,7.726648847796509,Naive,valle_d_aosta
2015-01-04,2015-03-01,8,0.5,9.79,Naive,valle_d_aosta
2015-01-04,2015-03-01,8,0.55,11.853351152203487,Naive,valle_d_aosta
2015-01-04,2015-03-01,8,0.6,13.949942975667383,Naive,valle_d_aosta
2015-01-04,2015-03-01,8,0.65,16.11693702739457,Naive,valle_d_aosta
2015-01-04,2015-03-01,8,0.7,18.40062235279189,Naive,valle_d_aosta
2015-01-04,2015-03-01,8,0.75,20.86507788231487,Naive,valle_d_aosta
2015-01-04,2015-03-01,8,0.8,23.609365982240966,Naive,valle_d_aosta
2015-01-04,2015-03-01,8,0.85,26.808168927160647,Naive,valle_d_aosta
2015-01-04,2015-03-01,8,0.9,30.83299345465643,Naive,valle_d_aosta
2015-01-04,2015-03-01,8,0.95,36.798389702289455,Naive,valle_d_aosta
2015-01-04,2015-03-01,8,0.975,41.97248130383432,Naive,valle_d_aosta
2015-01-04,2015-03-01,8,0.99,47.98848096856907,Naive,valle_d_aosta
2015-03-01,2015-03-08,1,0.01,-11.130754793753106,Naive,valle_d_aosta
2015-03-01,2015-03-08,1,0.025,-9.04542641471108,Naive,valle_d_aosta
2015-03-01,2015-03-08,1,0.05,-7.251928965615027,Naive,valle_d_aosta
2015-03-01,2015-03-08,1,0.1,-5.184141269358825,Naive,valle_d_aosta
2015-03-01,2015-03-08,1,0.15,-3.7890147275388775,Naive,valle_d_aosta
2015-03-01,2015-03-08,1,0.2,-2.6802123785117664,Naive,valle_d_aosta
2015-03-01,2015-03-08,1,0.25,-1.7289586926797336,Naive,valle_d_aosta
2015-03-01,2015-03-08,1,0.3,-0.8747034830714564,Naive,valle_d_aosta
2015-03-01,2015-03-08,1,0.35,-0.0831087218934207,Naive,valle_d_aosta
2015-03-01,2015-03-08,1,0.4,0.6680372962440648,Naive,valle_d_aosta
2015-03-01,2015-03-08,1,0.45,1.394779761734128,Naive,valle_d_aosta
2015-03-01,2015-03-08,1,0.5,2.11,Naive,valle_d_aosta
2015-03-01,2015-03-08,1,0.55,2.825220238265872,Naive,valle_d_aosta
2015-03-01,2015-03-08,1,0.6,3.551962703755935,Naive,valle_d_aosta
2015-03-01,2015-03-08,1,0.65,4.3031087218934205,Naive,valle_d_aosta
2015-03-01,2015-03-08,1,0.7,5.094703483071456,Naive,valle_d_aosta
2015-03-01,2015-03-08,1,0.75,5.948958692679733,Naive,valle_d_aosta
2015-03-01,2015-03-08,1,0.8,6.900212378511766,Naive,valle_d_aosta
2015-03-01,2015-03-08,1,0.85,8.009014727538878,Naive,valle_d_aosta
2015-03-01,2015-03-08,1,0.9,9.404141269358826,Naive,valle_d_aosta
2015-03-01,2015-03-08,1,0.95,11.471928965615026,Naive,valle_d_aosta
2015-03-01,2015-03-08,1,0.975,13.265426414711078,Naive,valle_d_aosta
2015-03-01,2015-03-08,1,0.99,15.350754793753104,Naive,valle_d_aosta
2015-03-01,2015-03-15,2,0.01,-16.615255005382217,Naive,valle_d_aosta
2015-03-01,2015-03-15,2,0.025,-13.66615532973948,Naive,valle_d_aosta
2015-03-01,2015-03-15,2,0.05,-11.129766913146296,Naive,valle_d_aosta
2015-03-01,2015-03-15,2,0.1,-8.205473508992556,Naive,valle_d_aosta
2015-03-01,2015-03-15,2,0.15,-6.23246663232411,Naive,valle_d_aosta
2015-03-01,2015-03-15,2,0.2,-4.664383312338822,Naive,valle_d_aosta
2015-03-01,2015-03-15,2,0.25,-3.3191074485777663,Naive,valle_d_aosta
2015-03-01,2015-03-15,2,0.3,-2.1110081454218697,Naive,valle_d_aosta
2015-03-01,2015-03-15,2,0.35,-0.9915240982604004,Naive,valle_d_aosta
2015-03-01,2015-03-15,2,0.4,0.0707567879121788,Naive,valle_d_aosta
2015-03-01,2015-03-15,2,0.45,1.0985258389606871,Naive,valle_d_aosta
2015-03-01,2015-03-15,2,0.5,2.11,Naive,valle_d_aosta
2015-03-01,2015-03-15,2,0.55,3.1214741610393126,Naive,valle_d_aosta
2015-03-01,2015-03-15,2,0.6,4.149243212087821,Naive,valle_d_aosta
2015-03-01,2015-03-15,2,0.65,5.2115240982604,Naive,valle_d_aosta
2015-03-01,2015-03-15,2,0.7,6.331008145421869,Naive,valle_d_aosta
