model,horizon,MAE,RMSE,sMAPE,MASE,WIS,CRPS,PinballLoss,Coverage95,Coverage95_Dist,region
ARIMA,1,3.5335600017258884,6.937778734878468,96.57517182313144,0.8136435375713865,2.819420495506203,3.0333629247032206,1.4097102477531016,0.9,0.04999999999999993,valle_d_aosta
ARIMA,2,3.878310560763077,6.611807470086487,107.15692988760135,0.8930263878124253,2.894767131356926,3.133395005226794,1.447383565678463,0.9,0.04999999999999993,valle_d_aosta
ARIMA,4,4.178918424949595,5.905884763628969,120.07160942673552,0.9622448660380771,2.7982516759612013,3.0974376875671608,1.3991258379806006,0.9,0.04999999999999993,valle_d_aosta
ARIMA,8,6.274763196936273,10.26538978170545,148.39057194677548,1.444837648853944,4.501685388475528,4.839963513474129,2.250842694237764,0.9,0.04999999999999993,valle_d_aosta
CatBoost,1,2.1246036801602854,2.8194784105929966,99.78659356509168,0.4892148579388693,1.5696039796697405,1.7104926018618862,0.7848019898348702,0.7,0.25,valle_d_aosta
CatBoost,2,2.60304002079942,4.7539467775001265,98.02537613521662,0.5993804236884819,2.0026128622003285,2.1873181811755544,1.0013064311001643,0.85,0.09999999999999998,valle_d_aosta
CatBoost,4,2.322739140953725,3.0053525970157757,93.43353619559574,0.5348378662250087,1.6540739031356153,1.825737753849862,0.8270369515678077,0.85,0.09999999999999998,valle_d_aosta
CatBoost,8,6.073391014869618,9.115468645454884,120.3722597343202,1.398469347620866,4.71661268021861,5.077726860288774,2.358306340109305,0.8,0.1499999999999999,valle_d_aosta
Chronos-Bolt-small,1,2.6628525456896153,4.727784280020781,87.31267331865311,0.6131529574275341,1.6945544480235768,1.8887198368730225,0.8472772240117884,0.9,0.04999999999999993,valle_d_aosta
Chronos-Bolt-small,2,3.2924302891707136,5.692140317630912,109.0138135221691,0.7581205997293412,2.067716071446695,2.317470187733652,1.0338580357233476,0.8,0.1499999999999999,valle_d_aosta
Chronos-Bolt-small,4,2.126538461471673,3.5584369286988276,77.80252514387458,0.4896603639752336,1.5493362175982144,1.6819469220705319,0.7746681087991074,0.9,0.04999999999999993,valle_d_aosta
Chronos-Bolt-small,8,6.414885494091875,11.04875447487621,136.70116239143934,1.477102447384216,5.017633981686739,5.309446801524508,2.508816990843369,0.7,0.25,valle_d_aosta
Chronos-V2,1,2.811413879822763,5.679256407716634,101.0192438789264,0.6473609429694182,1.7842185091046787,1.9923889705841713,0.8921092545523391,1.0,0.050000000000000044,valle_d_aosta
Chronos-V2,2,3.4606927159026633,6.73312517993558,111.51860111968234,0.7968649923700948,2.1959578091899465,2.4572119441982507,1.0979789045949733,0.95,0.0,valle_d_aosta
Chronos-V2,4,2.199654312398798,4.336762153343183,85.77988208396988,0.5064961442002281,1.4892895176189813,1.642186979970716,0.7446447588094907,1.0,0.050000000000000044,valle_d_aosta
Chronos-V2,8,4.9511607354668445,10.155948894250658,132.78075552744428,1.1400626942579637,3.761429256767088,4.049982731288882,1.880714628383544,0.9,0.04999999999999993,valle_d_aosta
Drift,1,3.790930971312412,7.7917712320413735,112.04390939983759,0.8729062148883915,3.2516581715230934,3.489664107281097,1.6258290857615467,0.9,0.04999999999999993,valle_d_aosta
Drift,2,3.739452665679444,7.447086181887639,122.63070847763726,0.8610527326543467,3.2468650275053923,3.52690621709968,1.6234325137526961,0.95,0.0,valle_d_aosta
Drift,4,4.933379660683665,9.914246385503944,119.497320614231,1.1359683937278067,4.579907090662662,5.018928087784966,2.289953545331331,0.9,0.04999999999999993,valle_d_aosta
Drift,8,8.608963956357869,14.309825686278751,155.46042724622455,1.9823146868467838,6.993724811548482,7.771817109666212,3.496862405774241,0.9,0.04999999999999993,valle_d_aosta
ETS,1,3.547985350011382,7.387987641491458,101.83869475744474,0.8169651428091568,3.012315812253195,3.2304724098523048,1.5061579061265975,0.9,0.04999999999999993,valle_d_aosta
ETS,2,3.675123270541379,7.439129881027327,111.98400781308435,0.8462401366875603,3.045722491552593,3.295205283357833,1.5228612457762971,0.9,0.04999999999999993,valle_d_aosta
ETS,4,4.853207331798426,9.468425853214962,120.09337335677581,1.117507776883134,4.026562615011459,4.3561181309354655,2.0132813075057294,0.85,0.09999999999999998,valle_d_aosta
ETS,8,8.39411460264277,13.837388121181954,148.59897245885932,1.9328431091414962,6.579425990711128,7.107643547453546,3.289712995355564,0.8,0.1499999999999999,valle_d_aosta
LightGBM,1,2.0271716725504723,2.760668735190006,96.49114769346714,0.46677999810753473,1.5242174639049981,1.6635069419675343,0.7621087319524991,0.8,0.1499999999999999,valle_d_aosta
LightGBM,2,2.3748213880016107,4.492456893245361,87.8335461550713,0.5468304130367257,1.9037439944224306,2.032288357726783,0.9518719972112155,0.9,0.04999999999999993,valle_d_aosta
LightGBM,4,2.4514467786955763,3.5353028706956944,84.82655680886052,0.5644743058591417,1.9567176383298872,2.1254860584121245,0.9783588191649434,0.8,0.1499999999999999,valle_d_aosta
LightGBM,8,7.235765184642197,9.984055623365279,125.84357329856685,1.6661196014763064,5.272454880447869,5.785579458168145,2.636227440223934,0.8,0.1499999999999999,valle_d_aosta
MovingAverage,1,3.0450433164129973,3.4774468105702963,95.91407086695126,0.7011568545077088,1.8737964146371227,2.0976036904724187,0.9368982073185613,0.95,0.0,valle_d_aosta
MovingAverage,2,4.507032445529137,7.6540197398787395,106.82581683943482,1.0377969586304527,3.356866856842848,3.5864930396769674,1.6784334284214235,0.85,0.09999999999999998,valle_d_aosta
MovingAverage,4,2.9302546758998567,3.9386727790976686,93.4057148857914,0.6747254268555664,2.0520049457441276,2.235811701833658,1.0260024728720638,0.85,0.09999999999999998,valle_d_aosta
MovingAverage,8,6.01793537431644,10.388581249915989,125.59658301647664,1.3857000374815343,4.546631301990251,4.751144545265296,2.2733156509951256,0.9,0.04999999999999993,valle_d_aosta
Naive,1,3.7724943600821974,7.753420964150189,89.79942254964229,0.8686609694206894,3.2364582726644597,3.4738511055797483,1.6182291363322296,0.9,0.04999999999999993,valle_d_aosta
Naive,2,3.7281164321156197,7.4028210979588716,102.90996116043685,0.8584424322278361,3.233990217879074,3.5141394473459533,1.6169951089395365,0.95,0.0,valle_d_aosta
Naive,4,4.8509865881232495,9.762947379177426,104.58344493309714,1.1169964246663817,4.516614609451244,4.95131251005795,2.258307304725622,0.9,0.04999999999999993,valle_d_aosta
Naive,8,8.441845434841502,14.076939389058976,148.82881198582933,1.9438336917670733,6.871010975803477,7.634141801438261,3.4355054879017386,0.9,0.04999999999999993,valle_d_aosta
Prophet,1,3.139189555021501,4.287550719770435,110.34219303324832,0.7228351275787896,2.070424029309083,2.307391302879488,1.0352120146545418,0.95,0.0,valle_d_aosta
Prophet,2,5.204592013052641,7.831969319474865,135.16292923601756,1.198418211392363,3.578884999921847,3.9073375575045723,1.789442499960923,0.9,0.04999999999999993,valle_d_aosta
Prophet,4,3.6677890851632426,5.248131431604563,104.22284572807288,0.8445513546848896,2.580409500182994,2.863116370240694,1.2902047500914968,0.85,0.09999999999999998,valle_d_aosta
Prophet,8,6.104332015933234,11.262364722544065,119.06910445988397,1.4055938751650718,4.908334182922538,5.2212576423533115,2.454167091461269,0.8,0.1499999999999999,valle_d_aosta
Ridge,1,3.5099028961079326,6.945117397185846,94.76606844927267,0.8081962121844419,2.8949866187807025,3.021565233944572,1.4474933093903513,0.8,0.1499999999999999,valle_d_aosta
Ridge,2,4.1086581068431,6.924709381417755,105.13363547057637,0.9460666056584209,3.398231488967478,3.6076619301213206,1.699115744483739,0.85,0.09999999999999998,valle_d_aosta
Ridge,4,4.367015985957815,6.532242661297836,108.52124063770803,1.0055565304423966,3.424977895185763,3.695061661413965,1.7124889475928815,0.65,0.29999999999999993,valle_d_aosta
Ridge,8,5.446358412601687,9.527135878769771,116.99107074816708,1.2540877538647999,4.330077092915091,4.549964346563988,2.1650385464575455,0.8,0.1499999999999999,valle_d_aosta
SARIMA,1,3.6326993812719186,6.961447335639681,98.89590977919737,0.8364715397694716,2.840541092362285,3.057866466428627,1.420270546181143,0.9,0.04999999999999993,valle_d_aosta
SARIMA,2,4.204322480020451,6.729722939840476,120.17135842596444,0.9680944469780963,2.995115778812404,3.2491625750465816,1.497557889406202,0.9,0.04999999999999993,valle_d_aosta
SARIMA,4,4.301530685407909,5.9687433896645485,127.42339860914788,0.9904777737289611,2.832972943774787,3.1381695482709846,1.4164864718873935,0.9,0.04999999999999993,valle_d_aosta
SARIMA,8,6.085515602822773,10.221043298971443,151.3750209880272,1.401261175870275,4.436702871689634,4.766354261200416,2.218351435844817,0.9,0.04999999999999993,valle_d_aosta
SeasonalNaive,1,4.022645936756993,5.333644794141565,145.1485887024549,0.926261297043633,2.7534841819594122,3.0700238336305015,1.3767420909797061,1.0,0.050000000000000044,valle_d_aosta
SeasonalNaive,2,6.900287766597242,9.964112163557184,155.34589229052503,1.5888720004563461,4.975451841897171,5.473662444619395,2.487725920948585,0.85,0.09999999999999998,valle_d_aosta
SeasonalNaive,4,5.028857983852502,7.644850434616969,154.75893857458627,1.1579533948559984,3.6100230409414324,3.966886457581766,1.8050115204707162,0.95,0.0,valle_d_aosta
SeasonalNaive,8,6.428125933794817,11.248482028115644,156.96568439557637,1.4801512135559072,5.014776905672138,5.4212716806753445,2.507388452836069,0.85,0.09999999999999998,valle_d_aosta
TiRex,1,2.927361424397501,5.815266539198883,101.87106872945455,0.6740592218424039,2.042159899308145,2.220763085333405,1.021079949654073,0.7,0.25,valle_d_aosta
TiRex,2,3.239495010419207,5.516243443037047,109.79515356026856,0.7459316323863029,2.0322955219442034,2.2740613353130477,1.016147760972102,0.85,0.09999999999999998,valle_d_aosta
TiRex,4,2.7150498245205315,4.6170890712313035,99.34938608429536,0.6251719916533128,1.868631846168159,2.0495587431137725,0.9343159230840795,0.85,0.09999999999999998,valle_d_aosta
TiRex,8,6.30692548690117,10.890140540931041,138.86159728697777,1.4522433924583131,5.006330387639362,5.287943691432791,2.5031651938196813,0.55,0.3999999999999999,valle_d_aosta
TimeGPT,1,3.1616049237032557,6.086636501539135,102.92555083149375,0.7279965285062627,2.5898261619465415,2.748292825554973,1.2949130809732707,0.8,0.1499999999999999,valle_d_aosta
TimeGPT,2,3.4376245491270887,5.8420200460799725,111.50005274383568,0.7915532770429465,2.65079277028627,2.8567432833793105,1.3253963851431347,0.9,0.04999999999999993,valle_d_aosta
TimeGPT,4,2.8927150138525017,4.960924100185059,97.23928188748978,0.6660814804070766,2.254633314441352,2.419564746608055,1.127316657220676,0.85,0.09999999999999998,valle_d_aosta
TimeGPT,8,5.983826976220446,10.62796937248916,132.893376991743,1.3778461797080248,4.581704673858616,4.899519466028159,2.290852336929308,0.9,0.04999999999999993,valle_d_aosta
TimesFM,1,2.611346696089777,4.781853198193438,94.7626636872973,0.6012931328728177,1.824999018694249,1.9918677040835604,0.9124995093471245,0.6,0.35,valle_d_aosta
TimesFM,2,3.091355208775968,5.119556451374389,110.6710952879193,0.7118207096326898,1.9739097362015137,2.177306367739987,0.9869548681007572,0.8,0.1499999999999999,valle_d_aosta
TimesFM,4,2.2101407923947534,3.6670474754500235,88.608791104829,0.5089107789245325,1.629879798892539,1.763370044148278,0.8149398994462697,0.8,0.1499999999999999,valle_d_aosta
TimesFM,8,5.195140804388887,10.513877409409739,129.54925840260765,1.1962419600062975,4.285484357065995,4.4695074755956234,2.142742178532997,0.65,0.29999999999999993,valle_d_aosta
XGBoost,1,2.061294990578333,2.9507696729594812,102.70711578197151,0.474637291369939,1.5390493971166024,1.6671625359550017,0.7695246985583012,0.8,0.1499999999999999,valle_d_aosta
XGBoost,2,2.9132182407123124,4.902267606175836,102.57310314628538,0.6708025883055407,2.186229097245633,2.425078517386165,1.0931145486228164,0.9,0.04999999999999993,valle_d_aosta
XGBoost,4,3.4857246990154946,6.344507442773971,109.2277192574271,0.8026288993880607,3.1047401378966004,3.254721473611812,1.5523700689482998,0.85,0.09999999999999998,valle_d_aosta
XGBoost,8,8.134097261802621,12.577559584415456,127.84459706005687,1.8729710738774137,6.552587739070506,7.061036264275236,3.276293869535253,0.8,0.1499999999999999,valle_d_aosta
