model,season,horizon,true_peak_date,pred_peak_date,peak_timing_error_weeks,true_peak_val,pred_peak_val,peak_intensity_error_abs,peak_intensity_error_rel,region
ARIMA,2017-2018,latest,2018-01-14,2018-01-28,2.0,11.66,8.857507371992947,2.8024926280070535,-0.24035099725617953,valle_d_aosta
ARIMA,2018-2019,latest,2019-02-03,2019-03-03,4.0,12.14,5.585909070047608,6.554090929952393,-0.5398756943947605,valle_d_aosta
ARIMA,2019-2020,latest,2020-02-23,2020-02-16,-1.0,34.08,20.394813294034925,13.685186705965073,-0.4015606427806653,valle_d_aosta
ARIMA,2020-2021,latest,2020-12-06,2020-12-13,1.0,4.78,9.350502184639108,4.570502184639108,0.956172005154625,valle_d_aosta
ARIMA,2021-2022,latest,2021-11-07,2021-12-05,4.0,0.0,3.7267695139711488,3.7267695139711488,,valle_d_aosta
ARIMA,2022-2023,latest,2023-01-01,2023-01-15,2.0,47.53,37.27096095568982,10.259039044310178,-0.21584344717673423,valle_d_aosta
ARIMA,2024-2025,latest,2025-02-09,2025-02-09,0.0,11.5822270387429,7.983655188402791,3.598571850340109,-0.310697747359189,valle_d_aosta
CatBoost,2017-2018,latest,2018-01-14,2018-01-28,2.0,11.66,6.7934930562197104,4.86650694378029,-0.41736766241683443,valle_d_aosta
CatBoost,2018-2019,latest,2019-02-03,2018-12-30,-5.0,12.14,19.10063042901519,6.96063042901519,0.5733632972829645,valle_d_aosta
CatBoost,2019-2020,latest,2020-02-23,2020-02-23,0.0,34.08,15.330653156990715,18.749346843009285,-0.5501568909333711,valle_d_aosta
CatBoost,2020-2021,latest,2020-12-06,2021-04-04,17.0,4.78,11.445769664997732,6.665769664997732,1.3945124822170987,valle_d_aosta
CatBoost,2021-2022,latest,2021-11-07,2022-01-30,12.0,0.0,6.470405399394563,6.470405399394563,,valle_d_aosta
CatBoost,2022-2023,latest,2023-01-01,2023-01-15,2.0,47.53,16.701480838656515,30.828519161343486,-0.6486118064663052,valle_d_aosta
CatBoost,2024-2025,latest,2025-02-09,2025-02-09,0.0,11.5822270387429,8.708070861381767,2.874156177361133,-0.24815229124303934,valle_d_aosta
Chronos-Bolt-small,2017-2018,latest,2018-01-14,2018-02-04,3.0,11.66,11.047661781311035,0.612338218688965,-0.052516142254628216,valle_d_aosta
Chronos-Bolt-small,2018-2019,latest,2019-02-03,2018-12-30,-5.0,12.14,12.642451286315918,0.5024512863159174,0.04138807959768677,valle_d_aosta
Chronos-Bolt-small,2019-2020,latest,2020-02-23,2020-02-16,-1.0,34.08,18.92697525024414,15.153024749755858,-0.4446310079153714,valle_d_aosta
Chronos-Bolt-small,2020-2021,latest,2020-12-06,2021-04-04,17.0,4.78,8.819358825683594,4.0393588256835935,0.8450541476325509,valle_d_aosta
Chronos-Bolt-small,2021-2022,latest,2021-11-07,2022-03-27,20.0,0.0,5.121528625488281,5.121528625488281,,valle_d_aosta
