origin,target_date,horizon,quantile,value,model,region
2015-01-04,2015-01-11,1,0.01,8.453962259952881,Naive,veneto
2015-01-04,2015-01-11,1,0.025,8.854945801762536,Naive,veneto
2015-01-04,2015-01-11,1,0.05,9.19981376912578,Naive,veneto
2015-01-04,2015-01-11,1,0.1,9.597424448809782,Naive,veneto
2015-01-04,2015-01-11,1,0.15,9.865690486731642,Naive,veneto
2015-01-04,2015-01-11,1,0.2,10.078899829465474,Naive,veneto
2015-01-04,2015-01-11,1,0.25,10.261814461011246,Naive,veneto
2015-01-04,2015-01-11,1,0.3,10.426077453353695,Naive,veneto
2015-01-04,2015-01-11,1,0.35,10.578291595838516,Naive,veneto
2015-01-04,2015-01-11,1,0.4,10.72272793200316,Naive,veneto
2015-01-04,2015-01-11,1,0.45,10.862471758790557,Naive,veneto
2015-01-04,2015-01-11,1,0.5,11.0,Naive,veneto
2015-01-04,2015-01-11,1,0.55,11.137528241209443,Naive,veneto
2015-01-04,2015-01-11,1,0.6,11.27727206799684,Naive,veneto
2015-01-04,2015-01-11,1,0.65,11.421708404161484,Naive,veneto
2015-01-04,2015-01-11,1,0.7,11.573922546646305,Naive,veneto
2015-01-04,2015-01-11,1,0.75,11.738185538988754,Naive,veneto
2015-01-04,2015-01-11,1,0.8,11.921100170534526,Naive,veneto
2015-01-04,2015-01-11,1,0.85,12.134309513268358,Naive,veneto
2015-01-04,2015-01-11,1,0.9,12.402575551190218,Naive,veneto
2015-01-04,2015-01-11,1,0.95,12.80018623087422,Naive,veneto
2015-01-04,2015-01-11,1,0.975,13.145054198237464,Naive,veneto
2015-01-04,2015-01-11,1,0.99,13.54603774004712,Naive,veneto
2015-01-04,2015-01-18,2,0.01,7.399358897711619,Naive,veneto
2015-01-04,2015-01-18,2,0.025,7.966435260827231,Naive,veneto
2015-01-04,2015-01-18,2,0.05,8.454152217500376,Naive,veneto
2015-01-04,2015-01-18,2,0.1,9.016458633253876,Naive,veneto
2015-01-04,2015-01-18,2,0.15,9.395844102407064,Naive,veneto
2015-01-04,2015-01-18,2,0.2,9.6973676465259,Naive,veneto
2015-01-04,2015-01-18,2,0.25,9.956047999214412,Naive,veneto
2015-01-04,2015-01-18,2,0.3,10.188350950781096,Naive,veneto
2015-01-04,2015-01-18,2,0.35,10.403614255468112,Naive,veneto
