model,season,horizon,true_peak_date,pred_peak_date,peak_timing_error_weeks,true_peak_val,pred_peak_val,peak_intensity_error_abs,peak_intensity_error_rel,region
ARIMA,2017-2018,latest,2018-01-28,2018-01-28,0.0,12.49,11.82515773456532,0.6648422654346806,-0.05322996520694,veneto
ARIMA,2018-2019,latest,2019-02-03,2019-03-03,4.0,12.75,5.3161241568680655,7.4338758431319345,-0.583049085735838,veneto
ARIMA,2019-2020,latest,2020-02-09,2020-02-16,1.0,11.35,11.175217196978055,0.1747828030219445,-0.015399365905017136,veneto
ARIMA,2020-2021,latest,2021-03-07,2021-02-07,-4.0,0.9,4.321007110447333,3.421007110447333,3.8011190116081477,veneto
ARIMA,2021-2022,latest,2021-11-21,2021-12-05,2.0,3.06,3.773464394380983,0.7134643943809831,0.23315829881731473,veneto
ARIMA,2022-2023,latest,2022-12-04,2022-12-11,1.0,19.04,8.909569806842407,10.130430193157592,-0.5320604093044954,veneto
ARIMA,2023-2024,latest,2023-12-24,2024-01-07,2.0,16.94,11.781005441503956,5.158994558496046,-0.3045451333232612,veneto
ARIMA,2024-2025,latest,2025-01-26,2025-02-09,2.0,14.2324845620188,15.558843502390358,1.3263589403715574,0.09319236810634704,veneto
CatBoost,2017-2018,latest,2018-01-28,2018-01-28,0.0,12.49,8.300923584610793,4.1890764153892075,-0.33539442877415593,veneto
CatBoost,2018-2019,latest,2019-02-03,2018-12-30,-5.0,12.75,8.496020954824905,4.253979045175095,-0.3336454153078506,veneto
CatBoost,2019-2020,latest,2020-02-09,2020-02-16,1.0,11.35,8.665663809161837,2.684336190838163,-0.2365053912632743,veneto
CatBoost,2020-2021,latest,2021-03-07,2021-04-04,4.0,0.9,8.81204260617967,7.91204260617967,8.791158451310745,veneto
CatBoost,2021-2022,latest,2021-11-21,2022-01-02,6.0,3.06,8.413820975300233,5.353820975300232,1.7496146978105334,veneto
CatBoost,2022-2023,latest,2022-12-04,2023-01-15,6.0,19.04,6.955880938734617,12.084119061265383,-0.6346701187639382,veneto
CatBoost,2023-2024,latest,2023-12-24,2024-01-07,2.0,16.94,14.193904802652863,2.746095197347138,-0.16210715450691487,veneto
CatBoost,2024-2025,latest,2025-01-26,2025-02-02,1.0,14.2324845620188,13.149528555470766,1.0829560065480344,-0.07609043957356824,veneto
